Mouse i.d.,age in months,mouse Strain,Tissue region,Sample Name,Dilution,7  Li   ,11  B   ,23  Na   ,24  Mg   ,27  Al   ,31  P   ,39  K   ,42  Ca   ,47  Ti   ,52  Cr   ,55  Mn   ,56  Fe   ,59  Co   ,60  Ni   ,63  Cu   ,66  Zn   ,78  Se   ,85  Rb   ,88  Sr   ,95  Mo   ,101  Ru   ,111  Cd   
233,5,NFL,Cerebellum,07C,0.313,-0.070,1.195,4969.65,668.58,2.28,16150.66,18352.77,212.98,1.274,0.226,2.195,72.66,0.040,0.288,21.524,59.80,1.054,16.311,0.159,0.703,0.001,0.005
234,5,NFL,Cerebellum,08C,0.299,-0.002,1.573,4674.00,691.65,10.47,16434.28,19043.30,330.73,1.414,0.221,3.040,73.33,0.048,0.162,21.843,63.73,0.999,19.359,0.343,0.584,0.001,0.005
238,5,NFL,Cerebellum,09C,0.149,0.327,0.709,4869.94,724.08,0.86,18485.28,17918.39,200.84,1.009,0.288,2.277,70.80,0.037,0.088,24.095,59.04,1.112,18.453,0.062,0.463,0.001,0.003
237,5,NFL,Cerebellum,10C,0.115,0.025,0.797,4990.18,771.36,5.65,20261.06,18880.05,205.95,1.211,0.188,2.928,77.16,0.041,0.545,28.966,60.47,1.287,17.794,0.060,0.490,0.001,0.002
236,5,NFL,Cerebellum,11C,0.292,-0.029,1.175,5274.94,684.20,31.28,16266.06,18810.29,428.87,1.561,0.326,2.932,89.81,0.042,0.347,23.289,68.48,1.020,17.291,0.217,0.405,0.001,0.005
235,5,NFL,Cerebellum,12C,0.118,-0.012,0.835,4718.63,724.02,2.77,18993.56,17734.48,372.61,1.191,0.183,3.441,72.66,0.042,0.088,27.712,62.65,1.180,17.006,0.106,0.406,0.001,0.001
162379,22,NFL,Cerebellum,13C,0.245,0.024,1.015,5047.21,737.22,10.09,16473.57,17621.22,620.99,1.377,0.083,2.236,130.86,0.063,0.214,37.232,76.42,0.991,16.194,0.185,0.609,0.001,0.004
162380,22,NFL,Cerebellum,14C,0.215,-0.017,1.096,5304.68,765.19,1.88,17482.24,18635.73,239.71,1.412,0.060,1.885,140.15,0.068,0.115,25.243,64.68,1.130,13.628,0.114,0.624,0.001,0.003
162381,22,NFL,Cerebellum,15C,0.200,0.057,0.868,4714.09,710.73,15.03,15483.54,16844.48,444.15,1.679,1.239,2.771,149.15,0.071,0.237,27.969,66.71,1.138,12.053,0.397,0.590,0.000,0.017
162382,22,NFL,Cerebellum,16C,0.323,-0.057,3.135,4979.08,636.42,4.07,15438.09,17175.67,282.36,1.234,0.143,1.903,138.99,0.066,0.195,25.050,73.20,0.949,10.343,0.196,0.477,0.001,0.004
13,22,NFL,Cerebellum,17C,0.177,-0.010,0.744,5169.59,709.72,4.80,16475.02,16928.86,342.93,1.038,0.264,1.763,132.54,0.074,0.087,27.223,89.36,1.051,16.255,0.197,0.546,0.000,0.002
14,22,NFL,Cerebellum,18C,0.165,-0.009,0.689,5000.89,674.31,0.90,15684.03,15841.34,197.14,0.967,0.025,1.696,106.43,0.059,0.081,28.149,53.30,1.115,14.175,0.057,0.486,0.000,0.002
15,22,NFL,Cerebellum,19C,0.141,-0.009,0.608,4858.61,666.31,8.71,17054.99,16549.72,281.83,0.906,0.128,1.386,115.05,0.060,0.193,25.951,58.52,1.037,14.074,0.069,0.518,0.000,0.002
161464,22,(WT),Cerebellum,20C,0.225,0.191,0.586,5023.23,702.20,1.32,15572.11,16221.09,283.38,0.965,0.047,1.984,81.18,0.064,0.131,33.976,58.49,0.859,15.526,0.097,0.553,0.000,0.003
161466,22,(WT),Cerebellum,21C,0.217,-0.037,0.831,4877.01,695.21,0.89,15868.22,16319.29,604.25,0.993,0.184,1.585,91.73,0.063,0.141,28.004,55.69,0.913,14.486,0.237,0.424,0.000,0.003
161468,22,(WT),Cerebellum,22C,0.108,-0.022,0.722,4579.78,707.33,0.62,19155.59,17066.03,172.55,1.062,0.075,1.577,92.91,0.064,0.069,37.571,54.76,1.147,13.820,0.061,0.504,0.000,0.002
161469,22,(WT),Cerebellum,23C,0.140,0.020,0.814,4653.30,684.63,2.32,17983.51,16191.15,296.01,1.151,0.138,1.654,93.40,0.060,0.072,32.559,54.26,0.976,15.298,0.113,0.459,0.000,0.002
161470,22,(WT),Cerebellum,24C,0.178,0.012,1.168,5249.40,779.36,2.41,18125.80,18430.24,281.73,1.121,0.411,1.698,108.24,0.073,0.245,29.492,66.14,1.125,14.934,0.089,0.509,0.001,0.002
169,9,(WT),Cerebellum,25C,0.094,0.021,0.660,4663.27,677.78,0.85,18756.07,15856.96,186.84,0.940,0.027,1.673,74.23,0.070,0.056,36.453,54.21,1.140,17.239,0.083,0.474,0.000,0.001
170,22,(WT),Cerebellum,26C,0.113,-0.013,0.526,4724.05,679.58,1.49,18398.50,16199.97,176.37,0.931,0.029,1.958,81.88,0.064,0.054,46.796,55.66,1.069,21.635,0.075,0.595,0.000,0.002
171,22,(WT),Cerebellum,27C,0.137,0.006,0.532,5195.60,686.51,3.64,18196.66,16051.14,250.87,0.988,0.019,1.931,82.47,0.070,0.069,40.874,54.91,1.003,20.935,0.104,0.578,0.001,0.002
172,22,(WT),Cerebellum,28C,0.260,-0.023,0.686,4646.01,602.09,1.60,14930.01,15984.41,181.68,0.865,0.012,1.627,88.05,0.059,0.213,28.895,53.47,0.826,17.483,0.079,0.341,0.000,0.004
3119,5,(WT),Cerebellum,29C,0.397,-0.059,0.505,5206.69,750.78,11.44,17077.70,20071.47,560.99,1.224,0.180,2.324,77.37,0.046,0.383,23.032,68.36,1.083,22.384,0.212,0.128,0.001,0.010
3120,5,(WT),Cerebellum,30C,0.400,0.126,0.819,5697.47,801.76,10.19,18105.30,20830.19,209.36,1.306,0.137,2.552,83.86,0.054,1.053,24.306,76.00,1.034,23.584,0.083,0.172,0.001,0.005
3121,5,(WT),Cerebellum,31C,0.157,-0.009,0.688,5962.68,907.55,3.45,22673.99,21256.25,211.64,1.381,0.034,2.589,88.11,0.048,0.129,31.003,68.56,1.317,25.211,0.074,0.366,0.000,0.003
